epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,117.153,1.03045,0.7477,1.38406,0.89907,0,0.85543,0.65714,0.79418,0.47845,0.79448,0.6,0.70252,0.33662,1.12549,1.06969,1.06251,0.91948,0,0.000478762,0.000478762,0.000478762
74,118.628,0.87321,0.65132,1.33305,0.86936,0,0.84194,0.68571,0.78268,0.4366,0.75581,0.57143,0.67924,0.25745,1.09252,1.19916,1.143,0.91391,0,0.000462259,0.000462259,0.000462259
75,119.995,1.02206,0.72005,1.38999,0.87962,0,0.87078,0.65714,0.77516,0.41995,0.63932,0.62857,0.66147,0.27831,1.20792,1.32297,1.1784,0.92087,0,0.000445756,0.000445756,0.000445756
76,121.527,0.93644,0.74027,1.32955,0.87884,0,0.90205,0.65714,0.80881,0.41199,0.7405,0.57075,0.6562,0.30408,1.26841,1.23231,1.22888,0.92874,0,0.000429253,0.000429253,0.000429253
77,122.874,1.04445,0.79509,1.30623,0.86742,0,0.90205,0.65714,0.80881,0.41199,0.7405,0.57075,0.6562,0.30408,1.26841,1.23231,1.22888,0.92874,0,0.000412749,0.000412749,0.000412749
78,124.245,0.99318,0.54405,1.30085,0.88833,0,0.83149,0.62857,0.76686,0.41794,0.71138,0.63392,0.76086,0.35731,1.25584,1.09131,1.19451,0.92263,0,0.000396246,0.000396246,0.000396246
79,125.61,0.88935,0.6071,1.19359,0.86854,0,0.84856,0.64062,0.82795,0.45486,0.83139,0.62857,0.77681,0.32888,1.18979,1.08249,1.1118,0.90983,0,0.000379743,0.000379743,0.000379743
80,127.073,0.93138,0.60521,1.27238,0.88796,0,0.8464,0.71429,0.84359,0.44978,0.82338,0.68571,0.7971,0.33535,1.14703,1.13576,1.05318,0.90891,0,0.000363239,0.000363239,0.000363239
81,128.435,0.90044,0.65973,1.22083,0.88081,0,0.8464,0.71429,0.84359,0.44978,0.82338,0.68571,0.7971,0.33535,1.14703,1.13576,1.05318,0.90891,0,0.000346736,0.000346736,0.000346736
82,129.807,0.87805,0.60961,1.24893,0.855,0,0.87717,0.71429,0.83386,0.46395,0.78148,0.62857,0.72738,0.25917,1.13781,1.17672,1.00812,0.90886,0,0.000330233,0.000330233,0.000330233
83,131.164,0.89074,0.56449,1.2948,0.85663,0,0.8776,0.62857,0.79821,0.44827,0.79525,0.68571,0.79092,0.28179,1.1561,1.21323,1.00903,0.91933,0,0.000313729,0.000313729,0.000313729
84,132.758,0.87513,1.00234,1.33798,0.88785,0,0.82905,0.693,0.78857,0.46463,0.80208,0.69494,0.74749,0.25996,1.18025,1.20916,1.03059,0.9365,0,0.000297226,0.000297226,0.000297226
85,134.172,0.893,0.65614,1.22956,0.88098,0,0.82905,0.693,0.78857,0.46463,0.80208,0.69494,0.74749,0.25996,1.18025,1.20916,1.03059,0.9365,0,0.000280723,0.000280723,0.000280723
86,135.541,0.75313,0.64786,1.19726,0.86709,0,0.82881,0.69178,0.79935,0.45245,0.77436,0.68571,0.74795,0.25353,1.19184,1.16597,1.05167,0.93468,0,0.00026422,0.00026422,0.00026422
87,136.907,0.95306,0.67753,1.20253,0.86184,0,0.81211,0.71429,0.79692,0.45563,0.77962,0.68571,0.74848,0.29329,1.15826,1.08075,1.07091,0.91789,0,0.000247716,0.000247716,0.000247716
88,138.253,0.82617,0.63671,1.25584,0.84471,0,0.87597,0.60552,0.78902,0.47657,0.88296,0.6469,0.7802,0.31063,1.13678,1.02018,1.078,0.9112,0,0.000231213,0.000231213,0.000231213
89,139.566,0.82231,0.59673,1.14571,0.87391,0,0.87597,0.60552,0.78902,0.47657,0.88296,0.6469,0.7802,0.31063,1.13678,1.02018,1.078,0.9112,0,0.00021471,0.00021471,0.00021471
